Gorovje,Izračun: Nedelja 06.09.2026 02 CEST,Ne 08 CEST,Ne 11 CEST,Ne 14 CEST,Ne 17 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST
KARAVANKE,na 1500 m,rahel vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,rahel zahod,rahel sever,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jug,zmeren jug,zmeren jugo-zahod,zmeren jugo-zahod,rahel jug,rahel zahod
KARAVANKE,hitrost,11 km/h,14 km/h,8 km/h,11 km/h,15 km/h,12 km/h,12 km/h,12 km/h,12 km/h,11 km/h,8 km/h,7 km/h,1 km/h,6 km/h,5 km/h,4 km/h,1 km/h,7 km/h,13 km/h,17 km/h,17 km/h,11 km/h,6 km/h,7 km/h,9 km/h,12 km/h,21 km/h,32 km/h,18 km/h,17 km/h,4 km/h
KARAVANKE,na 1000 m,rahel jugo-vzhod,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jug,rahel sever,rahel sever,rahel vzhod,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel sever
KARAVANKE,hitrost,1 km/h,7 km/h,8 km/h,10 km/h,11 km/h,9 km/h,6 km/h,5 km/h,2 km/h,4 km/h,8 km/h,8 km/h,4 km/h,4 km/h,2 km/h,2 km/h,3 km/h,3 km/h,10 km/h,14 km/h,8 km/h,6 km/h,5 km/h,5 km/h,4 km/h,8 km/h,16 km/h,14 km/h,7 km/h,10 km/h,5 km/h
KARAVANKE,na 500 m,rahel zahod,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel severo-zahod,rahel vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel sever
KARAVANKE,hitrost,1 km/h,4 km/h,5 km/h,5 km/h,4 km/h,4 km/h,3 km/h,2 km/h,1 km/h,2 km/h,4 km/h,4 km/h,3 km/h,3 km/h,3 km/h,2 km/h,1 km/h,2 km/h,6 km/h,7 km/h,4 km/h,4 km/h,3 km/h,3 km/h,1 km/h,4 km/h,8 km/h,7 km/h,3 km/h,4 km/h,2 km/h
POHORJE,na 5500 m,močan severo-zahod,močan severo-zahod,močan severo-zahod,močan severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,rahel zahod,rahel zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod
POHORJE,hitrost,63 km/h,60 km/h,55 km/h,56 km/h,46 km/h,44 km/h,40 km/h,41 km/h,32 km/h,31 km/h,40 km/h,45 km/h,51 km/h,44 km/h,33 km/h,42 km/h,40 km/h,33 km/h,28 km/h,29 km/h,18 km/h,16 km/h,17 km/h,19 km/h,26 km/h,28 km/h,33 km/h,40 km/h,48 km/h,46 km/h,66 km/h
POHORJE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel severo-zahod,zmeren zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,močan jugo-zahod
POHORJE,hitrost,41 km/h,42 km/h,39 km/h,35 km/h,44 km/h,33 km/h,31 km/h,28 km/h,22 km/h,17 km/h,18 km/h,17 km/h,9 km/h,13 km/h,21 km/h,17 km/h,13 km/h,14 km/h,16 km/h,14 km/h,15 km/h,18 km/h,21 km/h,29 km/h,30 km/h,34 km/h,41 km/h,44 km/h,56 km/h,45 km/h,55 km/h
POHORJE,na 2500 m,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel severo-zahod,zmeren severo-zahod,rahel sever,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel jugo-zahod,rahel zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jug,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
POHORJE,hitrost,31 km/h,33 km/h,13 km/h,18 km/h,26 km/h,13 km/h,24 km/h,28 km/h,23 km/h,14 km/h,13 km/h,19 km/h,8 km/h,6 km/h,10 km/h,10 km/h,6 km/h,4 km/h,7 km/h,8 km/h,21 km/h,21 km/h,26 km/h,30 km/h,32 km/h,32 km/h,40 km/h,36 km/h,50 km/h,47 km/h,49 km/h
POHORJE,na 2000 m,rahel jugo-zahod,rahel zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren zahod,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel jugo-vzhod,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel jugo-zahod,rahel jug,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
POHORJE,hitrost,6 km/h,7 km/h,3 km/h,6 km/h,10 km/h,7 km/h,15 km/h,13 km/h,17 km/h,19 km/h,10 km/h,3 km/h,11 km/h,1 km/h,6 km/h,5 km/h,2 km/h,3 km/h,3 km/h,12 km/h,24 km/h,22 km/h,29 km/h,31 km/h,32 km/h,33 km/h,38 km/h,34 km/h,51 km/h,50 km/h,46 km/h
POHORJE,na 1500 m,rahel jugo-vzhod,rahel jugo-zahod,rahel zahod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod
POHORJE,hitrost,10 km/h,5 km/h,6 km/h,5 km/h,9 km/h,8 km/h,13 km/h,17 km/h,15 km/h,10 km/h,7 km/h,5 km/h,14 km/h,10 km/h,12 km/h,10 km/h,6 km/h,5 km/h,9 km/h,14 km/h,20 km/h,22 km/h,26 km/h,28 km/h,30 km/h,30 km/h,33 km/h,32 km/h,50 km/h,47 km/h,32 km/h
POHORJE,na 1000 m,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod
POHORJE,hitrost,4 km/h,5 km/h,6 km/h,5 km/h,5 km/h,4 km/h,4 km/h,4 km/h,5 km/h,6 km/h,6 km/h,5 km/h,3 km/h,3 km/h,2 km/h,1 km/h,1 km/h,5 km/h,8 km/h,9 km/h,5 km/h,5 km/h,3 km/h,3 km/h,4 km/h,10 km/h,17 km/h,17 km/h,9 km/h,6 km/h,5 km/h
POHORJE,na 500 m,rahel vzhod,rahel jug,rahel jugo-zahod,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod
POHORJE,hitrost,3 km/h,4 km/h,5 km/h,4 km/h,5 km/h,4 km/h,5 km/h,4 km/h,3 km/h,5 km/h,5 km/h,4 km/h,3 km/h,3 km/h,2 km/h,2 km/h,1 km/h,5 km/h,6 km/h,7 km/h,5 km/h,4 km/h,3 km/h,3 km/h,3 km/h,8 km/h,14 km/h,13 km/h,6 km/h,4 km/h,4 km/h
SNEŽNIK,na 5500 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,zmeren zahod,močan jugo-zahod,močan jugo-zahod
SNEŽNIK,hitrost,51 km/h,53 km/h,48 km/h,44 km/h,40 km/h,35 km/h,30 km/h,28 km/h,26 km/h,25 km/h,31 km/h,37 km/h,43 km/h,41 km/h,39 km/h,35 km/h,32 km/h,22 km/h,23 km/h,28 km/h,19 km/h,15 km/h,25 km/h,27 km/h,28 km/h,30 km/h,36 km/h,33 km/h,54 km/h,63 km/h,62 km/h
SNEŽNIK,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren sever,rahel sever,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel sever,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,močan jugo-zahod,močan zahod,močan jugo-zahod,močan jugo-zahod
SNEŽNIK,hitrost,18 km/h,24 km/h,21 km/h,23 km/h,19 km/h,13 km/h,9 km/h,14 km/h,10 km/h,6 km/h,8 km/h,5 km/h,4 km/h,3 km/h,12 km/h,12 km/h,9 km/h,3 km/h,4 km/h,6 km/h,17 km/h,21 km/h,25 km/h,29 km/h,30 km/h,32 km/h,43 km/h,58 km/h,61 km/h,57 km/h,57 km/h
SNEŽNIK,na 2500 m,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel jugo-zahod,rahel sever,rahel sever,rahel sever,rahel jugo-vzhod,rahel jugo-zahod,rahel sever,rahel vzhod,rahel sever,rahel jug,rahel jugo-zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,zmeren zahod
SNEŽNIK,hitrost,6 km/h,11 km/h,12 km/h,15 km/h,17 km/h,13 km/h,10 km/h,12 km/h,10 km/h,9 km/h,6 km/h,4 km/h,7 km/h,5 km/h,2 km/h,2 km/h,2 km/h,3 km/h,6 km/h,1 km/h,14 km/h,15 km/h,23 km/h,27 km/h,32 km/h,29 km/h,46 km/h,54 km/h,61 km/h,53 km/h,48 km/h
SNEŽNIK,na 2000 m,rahel vzhod,rahel severo-zahod,rahel sever,rahel severo-vzhod,rahel severo-zahod,rahel sever,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel zahod,rahel zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel zahod,rahel jugo-zahod,rahel jug,rahel jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
SNEŽNIK,hitrost,17 km/h,2 km/h,2 km/h,3 km/h,13 km/h,12 km/h,10 km/h,5 km/h,5 km/h,11 km/h,4 km/h,8 km/h,6 km/h,3 km/h,3 km/h,0 km/h,4 km/h,3 km/h,7 km/h,9 km/h,13 km/h,17 km/h,20 km/h,23 km/h,35 km/h,32 km/h,51 km/h,56 km/h,60 km/h,53 km/h,37 km/h
SNEŽNIK,na 1500 m,zmeren vzhod,zmeren vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel severo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,rahel zahod,rahel zahod,rahel severo-zahod,rahel sever,rahel zahod,rahel severo-zahod,rahel severo-vzhod,rahel jug,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jug,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
SNEŽNIK,hitrost,39 km/h,32 km/h,14 km/h,12 km/h,8 km/h,6 km/h,9 km/h,12 km/h,6 km/h,4 km/h,8 km/h,9 km/h,5 km/h,4 km/h,5 km/h,2 km/h,3 km/h,1 km/h,10 km/h,12 km/h,14 km/h,13 km/h,14 km/h,17 km/h,32 km/h,28 km/h,33 km/h,46 km/h,43 km/h,49 km/h,23 km/h
SNEŽNIK,na 1000 m,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel zahod,rahel zahod,rahel zahod,rahel jug,rahel vzhod,rahel jugo-vzhod,rahel vzhod,rahel vzhod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jug,rahel jug
SNEŽNIK,hitrost,11 km/h,13 km/h,8 km/h,7 km/h,7 km/h,8 km/h,8 km/h,8 km/h,6 km/h,1 km/h,6 km/h,6 km/h,1 km/h,4 km/h,1 km/h,0 km/h,2 km/h,1 km/h,8 km/h,8 km/h,5 km/h,4 km/h,4 km/h,6 km/h,8 km/h,12 km/h,15 km/h,16 km/h,11 km/h,10 km/h,5 km/h
SNEŽNIK,na 500 m,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel vzhod,rahel vzhod,rahel jugo-vzhod,rahel vzhod,rahel vzhod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jug,rahel jug
SNEŽNIK,hitrost,9 km/h,11 km/h,7 km/h,6 km/h,6 km/h,7 km/h,8 km/h,8 km/h,5 km/h,1 km/h,5 km/h,5 km/h,1 km/h,5 km/h,3 km/h,2 km/h,3 km/h,1 km/h,7 km/h,7 km/h,3 km/h,4 km/h,4 km/h,5 km/h,6 km/h,10 km/h,13 km/h,13 km/h,7 km/h,6 km/h,4 km/h
ŠKOFJELOŠKO HRIBOVJE,na 5500 m,močan severo-zahod,močan severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,močan jugo-zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,56 km/h,55 km/h,48 km/h,47 km/h,46 km/h,37 km/h,35 km/h,30 km/h,26 km/h,28 km/h,40 km/h,47 km/h,48 km/h,39 km/h,39 km/h,40 km/h,32 km/h,28 km/h,28 km/h,28 km/h,19 km/h,14 km/h,19 km/h,22 km/h,29 km/h,35 km/h,42 km/h,57 km/h,49 km/h,59 km/h,70 km/h
ŠKOFJELOŠKO HRIBOVJE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel severo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel jugo-zahod,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan zahod,zmeren jugo-zahod,močan jugo-zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,27 km/h,24 km/h,19 km/h,26 km/h,25 km/h,19 km/h,14 km/h,16 km/h,13 km/h,12 km/h,12 km/h,13 km/h,7 km/h,4 km/h,5 km/h,11 km/h,9 km/h,8 km/h,13 km/h,16 km/h,20 km/h,23 km/h,30 km/h,29 km/h,33 km/h,38 km/h,44 km/h,53 km/h,58 km/h,48 km/h,55 km/h
ŠKOFJELOŠKO HRIBOVJE,na 2500 m,rahel sever,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,zmeren zahod,rahel severo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel vzhod,rahel jug,rahel zahod,rahel severo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,močan jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,5 km/h,10 km/h,8 km/h,14 km/h,15 km/h,11 km/h,15 km/h,18 km/h,16 km/h,19 km/h,12 km/h,11 km/h,11 km/h,6 km/h,9 km/h,5 km/h,6 km/h,2 km/h,9 km/h,12 km/h,17 km/h,21 km/h,30 km/h,26 km/h,33 km/h,40 km/h,44 km/h,46 km/h,55 km/h,45 km/h,43 km/h
ŠKOFJELOŠKO HRIBOVJE,na 2000 m,zmeren vzhod,rahel vzhod,rahel jugo-vzhod,rahel severo-vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel zahod,zmeren zahod,rahel zahod,rahel zahod,rahel severo-vzhod,rahel severo-vzhod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,24 km/h,14 km/h,5 km/h,6 km/h,3 km/h,6 km/h,7 km/h,10 km/h,11 km/h,19 km/h,15 km/h,4 km/h,6 km/h,3 km/h,6 km/h,4 km/h,1 km/h,5 km/h,8 km/h,10 km/h,19 km/h,25 km/h,27 km/h,26 km/h,28 km/h,38 km/h,32 km/h,44 km/h,51 km/h,42 km/h,36 km/h
ŠKOFJELOŠKO HRIBOVJE,na 1500 m,zmeren vzhod,zmeren jugo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel vzhod,zmeren jugo-vzhod,zmeren jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,32 km/h,32 km/h,14 km/h,15 km/h,14 km/h,16 km/h,18 km/h,18 km/h,16 km/h,9 km/h,5 km/h,4 km/h,7 km/h,4 km/h,7 km/h,5 km/h,1 km/h,5 km/h,8 km/h,13 km/h,23 km/h,27 km/h,20 km/h,23 km/h,21 km/h,28 km/h,23 km/h,46 km/h,45 km/h,38 km/h,28 km/h
ŠKOFJELOŠKO HRIBOVJE,na 1000 m,zmeren vzhod,rahel vzhod,rahel vzhod,rahel vzhod,zmeren vzhod,zmeren vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel severo-zahod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel jugo-vzhod,rahel jug,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,22 km/h,15 km/h,14 km/h,14 km/h,19 km/h,18 km/h,14 km/h,14 km/h,12 km/h,9 km/h,6 km/h,4 km/h,4 km/h,6 km/h,4 km/h,3 km/h,4 km/h,6 km/h,7 km/h,16 km/h,18 km/h,17 km/h,13 km/h,13 km/h,9 km/h,15 km/h,21 km/h,19 km/h,21 km/h,15 km/h,9 km/h
ŠKOFJELOŠKO HRIBOVJE,na 500 m,rahel severo-vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel vzhod,rahel severo-vzhod,rahel sever,rahel sever,rahel sever,rahel vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel severo-zahod,rahel jugo-vzhod,rahel jug,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod
ŠKOFJELOŠKO HRIBOVJE,hitrost,5 km/h,8 km/h,8 km/h,7 km/h,5 km/h,5 km/h,4 km/h,4 km/h,2 km/h,5 km/h,4 km/h,2 km/h,4 km/h,4 km/h,4 km/h,4 km/h,2 km/h,4 km/h,4 km/h,9 km/h,6 km/h,6 km/h,6 km/h,6 km/h,3 km/h,7 km/h,10 km/h,5 km/h,5 km/h,3 km/h,2 km/h
VZHODNOSLOVENSKO HRIBOVJE,na 5500 m,močan severo-zahod,močan severo-zahod,zmeren severo-zahod,močan severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,močan jugo-zahod
VZHODNOSLOVENSKO HRIBOVJE,hitrost,59 km/h,57 km/h,53 km/h,55 km/h,51 km/h,45 km/h,37 km/h,38 km/h,31 km/h,29 km/h,36 km/h,44 km/h,46 km/h,40 km/h,39 km/h,41 km/h,37 km/h,29 km/h,26 km/h,27 km/h,18 km/h,13 km/h,17 km/h,21 km/h,27 km/h,28 km/h,31 km/h,34 km/h,42 km/h,46 km/h,64 km/h
VZHODNOSLOVENSKO HRIBOVJE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel zahod,rahel sever,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
VZHODNOSLOVENSKO HRIBOVJE,hitrost,28 km/h,30 km/h,26 km/h,33 km/h,32 km/h,30 km/h,27 km/h,24 km/h,20 km/h,13 km/h,9 km/h,7 km/h,6 km/h,7 km/h,5 km/h,5 km/h,7 km/h,9 km/h,12 km/h,15 km/h,13 km/h,17 km/h,23 km/h,27 km/h,28 km/h,32 km/h,36 km/h,37 km/h,51 km/h,49 km/h,52 km/h
VZHODNOSLOVENSKO HRIBOVJE,na 2500 m,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel zahod,rahel severo-zahod,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel sever,rahel sever,rahel severo-vzhod,rahel severo-vzhod,rahel vzhod,rahel jugo-zahod,rahel zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod
